id,scenario,plant_id,timestep,area,fuel_type,production,up_activation,down_activation
103,3,1,11,1,Thermal,0.0,0.0,0.0
104,4,1,11,1,Thermal,0.0,0.0,0.0
105,5,1,11,1,Thermal,0.0,0.0,0.0
106,6,1,11,1,Thermal,0.0,0.0,0.0
107,7,1,11,1,Thermal,0.0,0.0,0.0
108,8,1,11,1,Thermal,0.0,0.0,0.0
109,9,1,11,1,Thermal,0.0,0.0,0.0
110,10,1,11,1,Thermal,0.0,0.0,0.0
111,1,1,12,1,Thermal,0.0,0.0,0.0
112,2,1,12,1,Thermal,0.0,0.0,0.0
113,3,1,12,1,Thermal,0.0,0.0,0.0
114,4,1,12,1,Thermal,0.0,0.0,0.0
115,5,1,12,1,Thermal,0.0,0.0,0.0
116,6,1,12,1,Thermal,0.0,0.0,0.0
117,7,1,12,1,Thermal,0.0,0.0,0.0
118,8,1,12,1,Thermal,0.0,0.0,0.0
119,9,1,12,1,Thermal,0.0,0.0,0.0
120,10,1,12,1,Thermal,0.0,0.0,0.0
121,1,1,13,1,Thermal,0.0,0.0,0.0
122,2,1,13,1,Thermal,0.0,0.0,0.0
123,3,1,13,1,Thermal,0.0,0.0,0.0
124,4,1,13,1,Thermal,0.0,0.0,0.0
125,5,1,13,1,Thermal,0.0,0.0,0.0
126,6,1,13,1,Thermal,0.0,0.0,0.0
127,7,1,13,1,Thermal,0.0,0.0,0.0
128,8,1,13,1,Thermal,0.0,0.0,0.0
129,9,1,13,1,Thermal,0.0,0.0,0.0
130,10,1,13,1,Thermal,0.0,0.0,0.0
131,1,1,14,1,Thermal,0.0,0.0,0.0
132,2,1,14,1,Thermal,0.0,0.0,0.0
133,3,1,14,1,Thermal,0.0,0.0,0.0
134,4,1,14,1,Thermal,0.0,0.0,0.0
135,5,1,14,1,Thermal,0.0,0.0,0.0
136,6,1,14,1,Thermal,0.0,0.0,0.0
137,7,1,14,1,Thermal,0.0,0.0,0.0
138,8,1,14,1,Thermal,0.0,0.0,0.0
139,9,1,14,1,Thermal,0.0,0.0,0.0
140,10,1,14,1,Thermal,0.0,0.0,0.0
141,1,1,15,1,Thermal,0.0,0.0,0.0
142,2,1,15,1,Thermal,0.0,0.0,0.0
143,3,1,15,1,Thermal,0.0,0.0,0.0
144,4,1,15,1,Thermal,0.0,0.0,0.0
145,5,1,15,1,Thermal,0.0,0.0,0.0
146,6,1,15,1,Thermal,0.0,0.0,0.0
147,7,1,15,1,Thermal,0.0,0.0,0.0
148,8,1,15,1,Thermal,0.0,0.0,0.0
149,9,1,15,1,Thermal,0.0,0.0,0.0
150,10,1,15,1,Thermal,0.0,0.0,0.0
151,1,1,16,1,Thermal,0.0,0.0,0.0
152,2,1,16,1,Thermal,0.0,0.0,0.0
153,3,1,16,1,Thermal,0.0,0.0,0.0
154,4,1,16,1,Thermal,0.0,0.0,0.0
155,5,1,16,1,Thermal,0.0,0.0,0.0
156,6,1,16,1,Thermal,0.0,0.0,0.0
157,7,1,16,1,Thermal,0.0,0.0,0.0
158,8,1,16,1,Thermal,0.0,0.0,0.0
159,9,1,16,1,Thermal,0.0,0.0,0.0
160,10,1,16,1,Thermal,0.0,0.0,0.0
161,1,1,17,1,Thermal,0.0,0.0,0.0
162,2,1,17,1,Thermal,0.0,0.0,0.0
