component,values,area,scenario
Water,0.0,2,9
Start,0.0,2,9
Up-reserve,0.0,2,9
Down-reserve,0.0,2,9
Fuel,0.0,3,9
Shedding,0.0,3,9
Dumping,0.0,3,9
Water,29826.222802648284,3,9
Start,0.0,3,9
Up-reserve,811.7358700000002,3,9
Down-reserve,458.05513,3,9
Fuel,2657.02120029,1,10
Shedding,0.0,1,10
Dumping,0.0,1,10
Water,0.0,1,10
Start,600.0,1,10
Up-reserve,708.3098733600001,1,10
Down-reserve,606.33502503,1,10
Fuel,0.0,2,10
Shedding,0.0,2,10
Dumping,0.0,2,10
Water,0.0,2,10
Start,0.0,2,10
Up-reserve,0.0,2,10
Down-reserve,0.0,2,10
Fuel,0.0,3,10
Shedding,0.0,3,10
Dumping,0.0,3,10
Water,26845.125951125825,3,10
Start,0.0,3,10
Up-reserve,811.7358700000002,3,10
Down-reserve,458.05513,3,10
