id,scenario,line_id,timestep,area_from,area_to,transmission,timestep_fractional
1,0,1,1,1,2,0.0,0.0
1,0,1,1,1,2,0.0,0.0167
1,0,1,1,1,2,0.0,0.0333
1,0,1,1,1,2,0.0,0.05
1,0,1,1,1,2,0.0,0.0667
1,0,1,1,1,2,0.0,0.0833
1,0,1,1,1,2,0.0,0.1
1,0,1,1,1,2,0.0,0.1167
1,0,1,1,1,2,0.0,0.1333
1,0,1,1,1,2,0.0,0.15
1,0,1,1,1,2,0.0,0.1667
1,0,1,1,1,2,0.0,0.1833
1,0,1,1,1,2,0.0,0.2
1,0,1,1,1,2,0.0,0.2167
1,0,1,1,1,2,0.0,0.2333
1,0,1,1,1,2,0.0,0.25
12,0,1,2,1,2,0.0,0.2667
12,0,1,2,1,2,0.0,0.2833
12,0,1,2,1,2,0.0,0.3
12,0,1,2,1,2,0.0,0.3167
12,0,1,2,1,2,0.0,0.3333
12,0,1,2,1,2,0.0,0.35
12,0,1,2,1,2,0.0,0.3667
12,0,1,2,1,2,0.0,0.3833
12,0,1,2,1,2,0.0,0.4
12,0,1,2,1,2,0.0,0.4167
12,0,1,2,1,2,0.0,0.4333
12,0,1,2,1,2,0.0,0.45
12,0,1,2,1,2,0.0,0.4667
12,0,1,2,1,2,0.0,0.4833
12,0,1,2,1,2,0.0,0.5
23,0,1,3,1,2,0.0,0.5167
23,0,1,3,1,2,0.0,0.5333
23,0,1,3,1,2,0.0,0.55
23,0,1,3,1,2,0.0,0.5667
23,0,1,3,1,2,0.0,0.5833
23,0,1,3,1,2,0.0,0.6
23,0,1,3,1,2,0.0,0.6167
23,0,1,3,1,2,0.0,0.6333
23,0,1,3,1,2,0.0,0.65
23,0,1,3,1,2,0.0,0.6667
23,0,1,3,1,2,0.0,0.6833
23,0,1,3,1,2,0.0,0.7
23,0,1,3,1,2,0.0,0.7167
23,0,1,3,1,2,0.0,0.7333
23,0,1,3,1,2,0.0,0.75
34,0,1,4,1,2,0.0,0.7667
34,0,1,4,1,2,0.0,0.7833
34,0,1,4,1,2,0.0,0.8
34,0,1,4,1,2,0.0,0.8167
34,0,1,4,1,2,0.0,0.8333
34,0,1,4,1,2,0.0,0.85
34,0,1,4,1,2,0.0,0.8667
34,0,1,4,1,2,0.0,0.8833
34,0,1,4,1,2,0.0,0.9
34,0,1,4,1,2,0.0,0.9167
34,0,1,4,1,2,0.0,0.9333
34,0,1,4,1,2,0.0,0.95
34,0,1,4,1,2,0.0,0.9667
34,0,1,4,1,2,0.0,0.9833
34,0,1,4,1,2,0.0,1.0
45,0,1,5,1,2,0.0,1.0167
45,0,1,5,1,2,0.0,1.0333
45,0,1,5,1,2,0.0,1.05
45,0,1,5,1,2,0.0,1.0667
45,0,1,5,1,2,0.0,1.0833
45,0,1,5,1,2,0.0,1.1
45,0,1,5,1,2,0.0,1.1167
45,0,1,5,1,2,0.0,1.1333
45,0,1,5,1,2,0.0,1.15
45,0,1,5,1,2,0.0,1.1667
45,0,1,5,1,2,0.0,1.1833
45,0,1,5,1,2,0.0,1.2
45,0,1,5,1,2,0.0,1.2167
45,0,1,5,1,2,0.0,1.2333
45,0,1,5,1,2,0.0,1.25
56,0,1,6,1,2,0.0,1.2667
56,0,1,6,1,2,0.0,1.2833
56,0,1,6,1,2,0.0,1.3
56,0,1,6,1,2,0.0,1.3167
56,0,1,6,1,2,0.0,1.3333
56,0,1,6,1,2,0.0,1.35
56,0,1,6,1,2,0.0,1.3667
56,0,1,6,1,2,0.0,1.3833
56,0,1,6,1,2,0.0,1.4
56,0,1,6,1,2,0.0,1.4167
56,0,1,6,1,2,0.0,1.4333
56,0,1,6,1,2,0.0,1.45
56,0,1,6,1,2,0.0,1.4667
56,0,1,6,1,2,0.0,1.4833
56,0,1,6,1,2,0.0,1.5
67,0,1,7,1,2,0.0,1.5167
67,0,1,7,1,2,0.0,1.5333
67,0,1,7,1,2,0.0,1.55
67,0,1,7,1,2,0.0,1.5667
67,0,1,7,1,2,0.0,1.5833
67,0,1,7,1,2,0.0,1.6
67,0,1,7,1,2,0.0,1.6167
67,0,1,7,1,2,0.0,1.6333
67,0,1,7,1,2,0.0,1.65
67,0,1,7,1,2,0.0,1.6667
67,0,1,7,1,2,0.0,1.6833
67,0,1,7,1,2,0.0,1.7
67,0,1,7,1,2,0.0,1.7167
67,0,1,7,1,2,0.0,1.7333
67,0,1,7,1,2,0.0,1.75
78,0,1,8,1,2,0.0,1.7667
78,0,1,8,1,2,0.0,1.7833
78,0,1,8,1,2,0.0,1.8
78,0,1,8,1,2,0.0,1.8167
78,0,1,8,1,2,0.0,1.8333
78,0,1,8,1,2,0.0,1.85
78,0,1,8,1,2,0.0,1.8667
78,0,1,8,1,2,0.0,1.8833
78,0,1,8,1,2,0.0,1.9
78,0,1,8,1,2,0.0,1.9167
78,0,1,8,1,2,0.0,1.9333
78,0,1,8,1,2,0.0,1.95
78,0,1,8,1,2,0.0,1.9667
78,0,1,8,1,2,0.0,1.9833
78,0,1,8,1,2,0.0,2.0
89,0,1,9,1,2,0.0,2.0167
89,0,1,9,1,2,0.0,2.0333
89,0,1,9,1,2,0.0,2.05
89,0,1,9,1,2,0.0,2.0667
89,0,1,9,1,2,0.0,2.0833
89,0,1,9,1,2,0.0,2.1
89,0,1,9,1,2,0.0,2.1167
89,0,1,9,1,2,0.0,2.1333
89,0,1,9,1,2,0.0,2.15
89,0,1,9,1,2,0.0,2.1667
89,0,1,9,1,2,0.0,2.1833
89,0,1,9,1,2,0.0,2.2
89,0,1,9,1,2,0.0,2.2167
89,0,1,9,1,2,0.0,2.2333
89,0,1,9,1,2,0.0,2.25
100,0,1,10,1,2,0.0,2.2667
100,0,1,10,1,2,0.0,2.2833
100,0,1,10,1,2,0.0,2.3
100,0,1,10,1,2,0.0,2.3167
100,0,1,10,1,2,0.0,2.3333
100,0,1,10,1,2,0.0,2.35
100,0,1,10,1,2,0.0,2.3667
100,0,1,10,1,2,0.0,2.3833
100,0,1,10,1,2,0.0,2.4
100,0,1,10,1,2,0.0,2.4167
100,0,1,10,1,2,0.0,2.4333
100,0,1,10,1,2,0.0,2.45
100,0,1,10,1,2,0.0,2.4667
100,0,1,10,1,2,0.0,2.4833
100,0,1,10,1,2,0.0,2.5
111,0,1,11,1,2,0.0,2.5167
111,0,1,11,1,2,0.0,2.5333
