id,area,timestep,load,load_shedding,power_dumping
1,1,0.0,181.62,0.0,512.38
2,1,0.1,188.02572000000004,0.0,420.92428
3,1,0.2,189.93096000000006,0.0,369.66904000000017
4,1,0.3,188.85383999999996,0.0,350.79615999999993
5,1,0.4,186.31248000000002,0.0,356.4875200000001
6,1,0.5,183.825,0.0,378.925
7,1,0.6,182.90952000000001,0.0,410.29048
8,1,0.7,185.08416,0.0,442.7658399999999
9,1,0.8,191.86704000000003,0.0,468.53296
10,1,0.9,204.77628,0.0,479.77372
11,1,1.0,225.33,0.0,468.66999999999996
12,1,1.1,247.91836000000004,0.0,446.08164000000005
13,1,1.2,265.75088000000005,0.0,428.2491200000001
14,1,1.3,278.5837199999999,0.0,415.41628
15,1,1.4,286.17304,0.0,407.82696000000004
16,1,1.5,288.275,0.0,405.72499999999997
17,1,1.6,284.64576,0.0,409.35424
18,1,1.7,275.04148,0.0,418.95852
19,1,1.8,259.21832,0.0,434.78168000000005
20,1,1.9,236.93243999999999,0.0,457.06755999999996
21,1,2.0,207.94,0.0,486.05999999999995
22,1,2.1,177.87406000000001,0.0,516.12594
23,1,2.2,152.99008000000003,0.0,541.0099200000001
24,1,2.3,133.96882,0.0,560.0311799999998
25,1,2.4,121.49104000000001,0.0,572.50896
26,1,2.5,116.2375,0.0,577.7625
27,1,2.6,118.88896000000001,0.0,575.11104
28,1,2.7,130.12617999999998,0.0,563.87382
29,1,2.8,150.62992000000003,0.0,543.37008
30,1,2.9,181.08094,0.0,512.9190600000001
31,1,3.0,222.16,0.0,471.84000000000003
32,1,3.1,261.54137000000003,0.0,432.4586300000001
33,1,3.2,287.8929600000001,0.0,406.1070400000002
34,1,3.3,303.38598999999994,0.0,390.61400999999995
35,1,3.4,310.1916800000001,0.0,383.80832000000004
36,1,3.5,310.48125,0.0,383.51875000000007
37,1,3.6,306.42592,0.0,387.57408000000004
38,1,3.7,300.19691,0.0,393.80309
39,1,3.8,293.96544000000006,0.0,400.03455999999994
40,1,3.9,289.90273,0.0,404.09727
41,1,4.0,290.18,0.0,403.81999999999994
42,1,4.1,293.19601000000006,0.0,400.80399
43,1,4.2,295.7740800000001,0.0,398.22592000000003
44,1,4.3,297.71326999999997,0.0,396.2867299999998
45,1,4.4,298.81264,0.0,395.18736000000007
46,1,4.5,298.87125000000003,0.0,395.12874999999997
47,1,4.6,297.68816000000004,0.0,396.31184
48,1,4.7,295.06243,0.0,398.93756999999994
49,1,4.8,290.79312000000004,0.0,403.20688000000007
50,1,4.9,284.67929000000004,0.0,409.32071
51,1,5.0,276.52,0.0,417.48
52,1,5.1,268.54944,0.0,425.4505600000001
53,1,5.2,262.91912,0.0,431.0808800000001
54,1,5.3,259.31307999999996,0.0,434.6869199999999
55,1,5.4,257.41536,0.0,436.58464
56,1,5.5,256.90999999999997,0.0,437.09000000000003
57,1,5.6,257.48104,0.0,436.51896000000005
58,1,5.7,258.81251999999995,0.0,435.18747999999994
59,1,5.8,260.58848,0.0,433.41152
60,1,5.9,262.49296,0.0,431.50703999999996
61,1,6.0,264.21,0.0,429.78999999999996
62,1,6.1,265.10936,0.0,404.49064000000004
63,1,6.2,265.0220800000001,0.0,389.77792000000005
64,1,6.3,264.3151199999999,0.0,382.8848799999999
65,1,6.4,263.35544000000004,0.0,381.04456
66,1,6.5,262.51,0.0,381.49
67,1,6.6,262.14576000000005,0.0,381.4542400000001
68,1,6.7,262.62968,0.0,378.17032000000006
69,1,6.8,264.32872,0.0,368.87128000000007
70,1,6.9,267.60983999999996,0.0,350.79016000000007
71,1,7.0,272.84,0.0,321.1600000000001
72,1,7.1,277.09942,0.0,316.9005800000001
73,1,7.2,278.03016,0.0,315.9698400000001
74,1,7.3,276.8509399999999,0.0,317.1490599999999
75,1,7.4,274.78048,0.0,319.21952000000005
76,1,7.5,273.03749999999997,0.0,320.96250000000003
77,1,7.6,272.84072000000003,0.0,321.15928
78,1,7.7,275.40885999999995,0.0,318.59114
79,1,7.8,281.96064,0.0,312.03936
80,1,7.9,293.71478,0.0,300.28522000000004
81,1,8.0,311.89,0.0,282.11
82,1,8.1,331.75734,0.0,264.94266000000005
83,1,8.2,347.6199200000001,0.0,255.98008000000007
84,1,8.3,359.2445799999999,0.0,253.65541999999994
85,1,8.4,366.39816,0.0,256.40184000000005
86,1,8.5,368.84749999999997,0.0,262.65250000000003
87,1,8.6,366.35944,0.0,270.84056000000004
88,1,8.7,358.70081999999996,0.0,279.39918
89,1,8.8,345.6384800000001,0.0,286.76152
90,1,8.9,326.93926,0.0,291.36074
91,1,9.0,302.37,0.0,291.63
92,1,9.1,278.29539000000005,0.0,315.70461
93,1,9.2,260.82912000000005,0.0,333.1708800000002
94,1,9.3,249.35252999999994,0.0,344.64747
95,1,9.4,243.24696000000003,0.0,350.75304
96,1,9.5,241.89374999999998,0.0,352.10625000000005
97,1,9.6,244.67424000000003,0.0,349.32576000000006
98,1,9.7,250.96976999999998,0.0,343.03022999999996
99,1,9.8,260.16168000000005,0.0,333.83832000000007
100,1,9.9,271.63131,0.0,322.36869
101,1,10.0,284.76,0.0,309.24
102,1,10.1,297.68924000000004,0.0,296.3107600000001
103,1,10.2,308.69392000000005,0.0,285.30608000000007
104,1,10.3,317.35547999999994,0.0,276.64451999999994
105,1,10.4,323.25536,0.0,270.74464
106,1,10.5,325.975,0.0,268.025
107,1,10.6,325.09584000000007,0.0,268.90415999999993
108,1,10.7,320.19932,0.0,273.80067999999994
109,1,10.8,310.86688000000004,0.0,283.13311999999996
110,1,10.9,296.67996000000005,0.0,297.32003999999995
111,1,11.0,277.22,0.0,316.78
112,1,11.1,258.47638000000006,0.0,335.52362000000005
113,1,11.2,245.99664000000007,0.0,348.00336000000004
114,1,11.3,238.70845999999997,0.0,355.29153999999994
115,1,11.4,235.53952000000004,0.0,358.46048
116,1,11.5,235.41750000000002,0.0,358.58250000000004
117,1,11.6,237.27008000000004,0.0,356.72992000000005
118,1,11.7,240.02494,0.0,353.97506
119,1,11.8,242.60976000000005,0.0,351.39024000000006
120,1,11.9,243.95222,0.0,350.04778
