id,timestep,timestep_fractional,frequency,frequncy_d
151,15,15.0,-2.0,0.0
152,16,15.1,-2.0000000000000004,0.0
153,16,15.2,-2.0000000000000004,0.0
154,16,15.3,-1.9999999999999998,0.0
155,16,15.4,-2.0,0.0
156,16,15.5,-2.0,0.0
157,16,15.6,-2.0,0.0
158,16,15.7,-2.0,0.0
159,16,15.8,-2.0,0.0
160,16,15.9,-2.0,0.0
161,16,16.0,-2.0,0.0
162,17,16.1,-2.0000000000000004,0.0
163,17,16.2,-2.0000000000000004,0.0
164,17,16.3,-1.9999999999999998,0.0
165,17,16.4,-2.0,0.0
166,17,16.5,-2.0,0.0
167,17,16.6,-2.0,0.0
168,17,16.7,-2.0,0.0
169,17,16.8,-2.0,0.0
170,17,16.9,-2.0,0.0
171,17,17.0,-2.0,0.0
172,18,17.1,-2.0000000000000004,0.0
173,18,17.2,-2.0000000000000004,0.0
174,18,17.3,-1.9999999999999998,0.0
175,18,17.4,-2.0,0.0
176,18,17.5,-2.0,0.0
177,18,17.6,-2.0,0.0
178,18,17.7,-2.0,0.0
179,18,17.8,-2.0,0.0
180,18,17.9,-2.0,0.0
181,18,18.0,-2.0,0.0
182,19,18.1,-2.0000000000000004,0.0
183,19,18.2,-2.0000000000000004,0.0
184,19,18.3,-1.9999999999999998,0.0
185,19,18.4,-2.0,0.0
186,19,18.5,-2.0,0.0
187,19,18.6,-2.0,0.0
188,19,18.7,-2.0,0.0
189,19,18.8,-2.0,0.0
190,19,18.9,-2.0,0.0
191,19,19.0,-2.0,0.0
192,20,19.1,-2.0000000000000004,0.0
193,20,19.2,-2.0000000000000004,0.0
194,20,19.3,-1.9999999999999998,0.0
195,20,19.4,-2.0,0.0
196,20,19.5,-2.0,0.0
197,20,19.6,-2.0,0.0
198,20,19.7,-2.0,0.0
199,20,19.8,-2.0,0.0
200,20,19.9,-2.0,0.0
201,20,20.0,-2.0,0.0
202,21,20.1,-2.0000000000000004,0.0
203,21,20.2,-2.0000000000000004,0.0
204,21,20.3,-1.9999999999999998,0.0
205,21,20.4,-2.0,0.0
206,21,20.5,-2.0,0.0
207,21,20.6,-2.0,0.0
208,21,20.7,-2.0,0.0
209,21,20.8,-2.0,0.0
210,21,20.9,-2.0,0.0
211,21,21.0,-2.0,0.0
212,22,21.1,-2.0000000000000004,0.0
213,22,21.2,-2.0000000000000004,0.0
214,22,21.3,-1.9999999999999998,0.0
215,22,21.4,-2.0,0.0
216,22,21.5,-2.0,0.0
217,22,21.6,-2.0,0.0
218,22,21.7,-2.0,0.0
219,22,21.8,-2.0,0.0
220,22,21.9,-2.0,0.0
221,22,22.0,-2.0,0.0
222,23,22.1,-2.0000000000000004,0.0
223,23,22.2,-2.0000000000000004,0.0
224,23,22.3,-1.9999999999999998,0.0
225,23,22.4,-2.0,0.0
226,23,22.5,-2.0,0.0
227,23,22.6,-2.0,0.0
228,23,22.7,-2.0,0.0
229,23,22.8,-2.0,0.0
230,23,22.9,-2.0,0.0
231,23,23.0,-2.0,0.0
232,24,23.1,-2.0000000000000004,0.0
233,24,23.2,-2.0000000000000004,0.0
234,24,23.3,-1.9999999999999998,0.0
235,24,23.4,-2.0,0.0
236,24,23.5,-2.0,0.0
237,24,23.6,-2.0,0.0
238,24,23.7,-2.0,0.0
239,24,23.8,-2.0,0.0
240,24,23.9,-2.0,0.0
241,24,24.0,-2.0,0.0
