id,plant_id,timestep,timestep_fractional,production,area,fuel_type,status,startup
1,1,1.0,0.0,20.0,1,Thermal,1,0
2,1,1.0,0.1,17.084,1,Thermal,1,0
3,1,1.0,0.2,15.392000000000003,1,Thermal,1,0
4,1,1.0,0.3,14.707999999999998,1,Thermal,1,0
5,1,1.0,0.4,14.816000000000003,1,Thermal,1,0
6,1,1.0,0.5,15.5,1,Thermal,1,0
7,1,1.0,0.6,16.544,1,Thermal,1,0
8,1,1.0,0.7,17.732,1,Thermal,1,0
9,1,1.0,0.8,18.848,1,Thermal,1,0
10,1,1.0,0.9,19.676000000000002,1,Thermal,1,0
11,1,1.0,1.0,20.0,1,Thermal,1,0
12,1,2.0,1.1,20.000000000000004,1,Thermal,1,0
13,1,2.0,1.2,20.000000000000007,1,Thermal,1,0
14,1,2.0,1.3,19.999999999999996,1,Thermal,1,0
15,1,2.0,1.4,20.000000000000004,1,Thermal,1,0
16,1,2.0,1.5,20.0,1,Thermal,1,0
17,1,2.0,1.6,20.0,1,Thermal,1,0
18,1,2.0,1.7,20.0,1,Thermal,1,0
19,1,2.0,1.8,20.0,1,Thermal,1,0
20,1,2.0,1.9,20.0,1,Thermal,1,0
21,1,2.0,2.0,20.0,1,Thermal,1,0
22,1,3.0,2.1,20.000000000000004,1,Thermal,1,0
23,1,3.0,2.2,20.000000000000007,1,Thermal,1,0
24,1,3.0,2.3,19.999999999999996,1,Thermal,1,0
25,1,3.0,2.4,20.000000000000004,1,Thermal,1,0
26,1,3.0,2.5,20.0,1,Thermal,1,0
27,1,3.0,2.6,20.0,1,Thermal,1,0
28,1,3.0,2.7,20.0,1,Thermal,1,0
29,1,3.0,2.8,20.0,1,Thermal,1,0
30,1,3.0,2.9,20.0,1,Thermal,1,0
31,1,3.0,3.0,20.0,1,Thermal,1,0
32,1,4.0,3.1,20.000000000000004,1,Thermal,1,0
33,1,4.0,3.2,20.000000000000007,1,Thermal,1,0
34,1,4.0,3.3,19.999999999999996,1,Thermal,1,0
35,1,4.0,3.4,20.000000000000004,1,Thermal,1,0
36,1,4.0,3.5,20.0,1,Thermal,1,0
37,1,4.0,3.6,20.0,1,Thermal,1,0
38,1,4.0,3.7,20.0,1,Thermal,1,0
39,1,4.0,3.8,20.0,1,Thermal,1,0
40,1,4.0,3.9,20.0,1,Thermal,1,0
