id,plant_id,timestep,timestep_fractional,discharge,spill,bypass,controlled_inflow,controlled_outflow
1,49900,1,0.0,-2.842170943040401e-14,0.0,0.0,-2.842170943040401e-14,-2.842170943040401e-14
2,49900,1,0.1,-2.0719426174764524e-14,0.0,0.0,-2.0719426174764524e-14,-2.0719426174764524e-14
3,49900,1,0.2,-1.4551915228366855e-14,0.0,0.0,-1.4551915228366855e-14,-1.4551915228366855e-14
4,49900,1,0.3,-9.748646334628572e-15,0.0,0.0,-9.748646334628572e-15,-9.748646334628572e-15
5,49900,1,0.4,-6.1390892369672655e-15,0.0,0.0,-6.1390892369672655e-15,-6.1390892369672655e-15
6,49900,1,0.5,-3.552713678800501e-15,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15
7,49900,1,0.6,-1.818989403545857e-15,0.0,0.0,-1.818989403545857e-15,-1.818989403545857e-15
8,49900,1,0.7,-7.673861546209085e-16,0.0,0.0,-7.673861546209085e-16,-7.673861546209085e-16
9,49900,1,0.8,-2.273736754432319e-16,0.0,0.0,-2.273736754432319e-16,-2.273736754432319e-16
10,49900,1,0.9,-2.842170943040399e-17,0.0,0.0,-2.842170943040399e-17,-2.842170943040399e-17
11,49900,1,1.0,0.0,0.0,0.0,0.0,0.0
12,49900,2,1.1,242.81254566204947,0.0,0.0,48.81740883888348,242.81254566204947
13,49900,2,1.2,170.5350114937851,0.0,0.0,83.56594405887874,170.5350114937851
14,49900,2,1.3,114.24513465306302,0.0,0.0,105.68901993451506,114.24513465306302
15,49900,2,1.4,71.94445797394057,0.0,0.0,116.63005074032186,71.94445797394057
16,49900,2,1.5,41.63452429047487,0.0,0.0,117.8324507508284,41.63452429047487
17,49900,2,1.6,21.31687643672314,0.0,0.0,110.73963424056407,21.31687643672314
18,49900,2,1.7,8.993057246742575,0.0,0.0,96.79501548405821,8.993057246742575
19,49900,2,1.8,2.66460955459039,0.0,0.0,77.44200875584013,2.66460955459039
20,49900,2,1.9,0.33307619432379876,0.0,0.0,54.12402833043923,0.33307619432379876
21,49900,2,2.0,0.0,0.0,0.0,28.284488482384802,0.0
22,49900,3,2.1,0.0,0.0,110.25896619189115,45.21352976238043,110.25896619189115
23,49900,3,2.2,0.0,0.0,77.43839600857102,32.69515010072699,77.43839600857102
24,49900,3,2.3,0.0,0.0,51.87767545105439,24.07081685349882,51.87767545105439
25,49900,3,2.4,0.0,0.0,32.66932331611589,19.527332069502194,32.66932331611589
26,49900,3,2.5,0.0,0.0,18.90585840053003,19.25149779754333,18.90585840053003
27,49900,3,2.6,0.0,0.0,9.679799501071377,23.430116086428484,9.679799501071377
28,49900,3,2.7,0.0,0.0,4.0836654145144875,32.24998898496389,4.0836654145144875
29,49900,3,2.8,0.0,0.0,1.209974937633921,45.897918541955825,1.209974937633921
30,49900,3,2.9,0.0,0.0,0.15124686720424013,64.5607068062105,0.15124686720424013
31,49900,3,3.0,0.0,0.0,0.0,88.42515582653415,0.0
32,49900,4,3.1,121.4274111585137,0.0,0.0,70.39905749997712,121.4274111585137
33,49900,4,3.2,85.28235186990264,0.0,0.0,71.84278547423868,85.28235186990264
34,49900,4,3.3,57.132513069094905,0.0,0.0,67.42218109077511,57.132513069094905
35,49900,4,3.4,35.978492195115166,0.0,0.0,58.6577604877981,35.978492195115166
36,49900,4,3.5,20.820886686987944,0.0,0.0,47.07003980351911,20.820886686987944
37,49900,4,3.6,10.66029398373783,0.0,0.0,34.179535176149756,10.66029398373783
38,49900,4,3.7,4.4973115243893975,0.0,0.0,21.506762743901596,4.4973115243893975
39,49900,4,3.8,1.3325367479672277,0.0,0.0,10.572238644986193,1.3325367479672277
40,49900,4,3.9,0.16656709349590346,0.0,0.0,2.8964790176151434,0.16656709349590346
41,49900,4,4.0,0.0,0.0,0.0,0.0,0.0
42,49900,5,4.1,3.0380865091267797,0.0,0.0,0.004167471163560049,3.0380865091267797
43,49900,5,4.2,2.133745257438836,0.0,0.0,0.03333976961814515,2.133745257438836
44,49900,5,4.3,1.429442623635782,0.0,0.0,0.11252172254185747,1.429442623635782
45,49900,5,4.4,0.9001737804820087,0.0,0.0,0.26671815717100694,0.9001737804820087
46,49900,5,4.5,0.5209339007419032,0.0,0.0,0.5209339007419032,0.5209339007419032
47,49900,5,4.6,0.2667181571798545,0.0,0.0,0.9001737804908563,0.2667181571798545
48,49900,5,4.7,0.11252172256025113,0.0,0.0,1.4294426236541755,0.11252172256025113
49,49900,5,4.8,0.03333976964748178,0.0,0.0,2.1337452574681723,0.03333976964748178
50,49900,5,4.9,0.004167471205935223,0.0,0.0,3.0380865091691547,0.004167471205935223
51,49900,5,5.0,0.0,0.0,0.0,4.167471205993433,0.0
52,49900,6,5.1,0.0,0.0,95.76699726305252,16.618496408991767,95.76699726305252
53,49900,6,5.2,0.0,0.0,67.26022304346077,26.667306371348968,67.26022304346077
54,49900,6,5.3,0.0,0.0,45.05909473419342,31.75217920202048,45.05909473419342
55,49900,6,5.4,0.0,0.0,28.375406596460003,33.47886421595525,28.375406596460003
56,49900,6,5.5,0.0,0.0,16.42095289146991,33.453110728102146,16.42095289146991
57,49900,6,5.6,0.0,0.0,8.407527880432596,33.28066805341009,8.407527880432596
58,49900,6,5.7,0.0,0.0,3.5469258245575017,34.56728550682797,3.5469258245575017
59,49900,6,5.8,0.0,0.0,1.0509409850540736,38.91871240330471,1.0509409850540736
60,49900,6,5.9,0.0,0.0,0.1313676231317592,47.94069805778919,0.1313676231317592
61,49900,6,6.0,0.0,0.0,0.0,63.23899178523032,0.0
