id,scenario,line_id,timestep,timestep_fractional,area_from,area_to,transmission
154,1,1,3,2.55,1,2,0.0
155,1,1,3,2.5667,1,2,0.0
156,1,1,3,2.5833,1,2,0.0
157,1,1,3,2.6,1,2,0.0
158,1,1,3,2.6167,1,2,0.0
159,1,1,3,2.6333,1,2,0.0
160,1,1,3,2.65,1,2,0.0
161,1,1,3,2.6667,1,2,0.0
162,1,1,3,2.6833,1,2,0.0
163,1,1,3,2.7,1,2,0.0
164,1,1,3,2.7167,1,2,0.0
165,1,1,3,2.7333,1,2,0.0
166,1,1,3,2.75,1,2,0.0
167,1,1,3,2.7667,1,2,0.0
168,1,1,3,2.7833,1,2,0.0
169,1,1,3,2.8,1,2,0.0
170,1,1,3,2.8167,1,2,0.0
171,1,1,3,2.8333,1,2,0.0
172,1,1,3,2.85,1,2,0.0
173,1,1,3,2.8667,1,2,0.0
174,1,1,3,2.8833,1,2,0.0
175,1,1,3,2.9,1,2,0.0
176,1,1,3,2.9167,1,2,0.0
177,1,1,3,2.9333,1,2,0.0
178,1,1,3,2.95,1,2,0.0
179,1,1,3,2.9667,1,2,0.0
180,1,1,3,2.9833,1,2,0.0
181,1,1,3,3.0,1,2,0.0
182,1,1,4,3.0167,1,2,0.0
183,1,1,4,3.0333,1,2,0.0
184,1,1,4,3.05,1,2,0.0
185,1,1,4,3.0667,1,2,0.0
186,1,1,4,3.0833,1,2,0.0
187,1,1,4,3.1,1,2,0.0
188,1,1,4,3.1167,1,2,0.0
189,1,1,4,3.1333,1,2,0.0
190,1,1,4,3.15,1,2,0.0
191,1,1,4,3.1667,1,2,0.0
192,1,1,4,3.1833,1,2,0.0
193,1,1,4,3.2,1,2,0.0
194,1,1,4,3.2167,1,2,0.0
195,1,1,4,3.2333,1,2,0.0
196,1,1,4,3.25,1,2,0.0
197,1,1,4,3.2667,1,2,0.0
198,1,1,4,3.2833,1,2,0.0
199,1,1,4,3.3,1,2,0.0
200,1,1,4,3.3167,1,2,0.0
201,1,1,4,3.3333,1,2,0.0
202,1,1,4,3.35,1,2,0.0
203,1,1,4,3.3667,1,2,0.0
204,1,1,4,3.3833,1,2,0.0
205,1,1,4,3.4,1,2,0.0
206,1,1,4,3.4167,1,2,0.0
207,1,1,4,3.4333,1,2,0.0
208,1,1,4,3.45,1,2,0.0
209,1,1,4,3.4667,1,2,0.0
210,1,1,4,3.4833,1,2,0.0
211,1,1,4,3.5,1,2,0.0
212,1,1,4,3.5167,1,2,0.0
213,1,1,4,3.5333,1,2,0.0
214,1,1,4,3.55,1,2,0.0
215,1,1,4,3.5667,1,2,0.0
216,1,1,4,3.5833,1,2,0.0
217,1,1,4,3.6,1,2,0.0
218,1,1,4,3.6167,1,2,0.0
219,1,1,4,3.6333,1,2,0.0
220,1,1,4,3.65,1,2,0.0
221,1,1,4,3.6667,1,2,0.0
222,1,1,4,3.6833,1,2,0.0
223,1,1,4,3.7,1,2,0.0
224,1,1,4,3.7167,1,2,0.0
225,1,1,4,3.7333,1,2,0.0
226,1,1,4,3.75,1,2,0.0
227,1,1,4,3.7667,1,2,0.0
228,1,1,4,3.7833,1,2,0.0
229,1,1,4,3.8,1,2,0.0
230,1,1,4,3.8167,1,2,0.0
231,1,1,4,3.8333,1,2,0.0
232,1,1,4,3.85,1,2,0.0
233,1,1,4,3.8667,1,2,0.0
234,1,1,4,3.8833,1,2,0.0
235,1,1,4,3.9,1,2,0.0
236,1,1,4,3.9167,1,2,0.0
237,1,1,4,3.9333,1,2,0.0
238,1,1,4,3.95,1,2,0.0
239,1,1,4,3.9667,1,2,0.0
240,1,1,4,3.9833,1,2,0.0
241,1,1,4,4.0,1,2,0.0
242,1,1,5,4.0167,1,2,0.0
243,1,1,5,4.0333,1,2,0.0
244,1,1,5,4.05,1,2,0.0
245,1,1,5,4.0667,1,2,0.0
246,1,1,5,4.0833,1,2,0.0
247,1,1,5,4.1,1,2,0.0
248,1,1,5,4.1167,1,2,0.0
249,1,1,5,4.1333,1,2,0.0
250,1,1,5,4.15,1,2,0.0
251,1,1,5,4.1667,1,2,0.0
252,1,1,5,4.1833,1,2,0.0
253,1,1,5,4.2,1,2,0.0
254,1,1,5,4.2167,1,2,0.0
255,1,1,5,4.2333,1,2,0.0
256,1,1,5,4.25,1,2,0.0
257,1,1,5,4.2667,1,2,0.0
258,1,1,5,4.2833,1,2,0.0
259,1,1,5,4.3,1,2,0.0
260,1,1,5,4.3167,1,2,0.0
261,1,1,5,4.3333,1,2,0.0
262,1,1,5,4.35,1,2,0.0
263,1,1,5,4.3667,1,2,0.0
264,1,1,5,4.3833,1,2,0.0
265,1,1,5,4.4,1,2,0.0
266,1,1,5,4.4167,1,2,0.0
267,1,1,5,4.4333,1,2,0.0
268,1,1,5,4.45,1,2,0.0
269,1,1,5,4.4667,1,2,0.0
270,1,1,5,4.4833,1,2,0.0
271,1,1,5,4.5,1,2,0.0
272,1,1,5,4.5167,1,2,0.0
273,1,1,5,4.5333,1,2,0.0
274,1,1,5,4.55,1,2,0.0
275,1,1,5,4.5667,1,2,0.0
276,1,1,5,4.5833,1,2,0.0
277,1,1,5,4.6,1,2,0.0
278,1,1,5,4.6167,1,2,0.0
279,1,1,5,4.6333,1,2,0.0
280,1,1,5,4.65,1,2,0.0
281,1,1,5,4.6667,1,2,0.0
282,1,1,5,4.6833,1,2,0.0
283,1,1,5,4.7,1,2,0.0
284,1,1,5,4.7167,1,2,0.0
285,1,1,5,4.7333,1,2,0.0
286,1,1,5,4.75,1,2,0.0
287,1,1,5,4.7667,1,2,0.0
288,1,1,5,4.7833,1,2,0.0
289,1,1,5,4.8,1,2,0.0
290,1,1,5,4.8167,1,2,0.0
291,1,1,5,4.8333,1,2,0.0
292,1,1,5,4.85,1,2,0.0
293,1,1,5,4.8667,1,2,0.0
294,1,1,5,4.8833,1,2,0.0
295,1,1,5,4.9,1,2,0.0
296,1,1,5,4.9167,1,2,0.0
297,1,1,5,4.9333,1,2,0.0
298,1,1,5,4.95,1,2,0.0
299,1,1,5,4.9667,1,2,0.0
300,1,1,5,4.9833,1,2,0.0
301,1,1,5,5.0,1,2,0.0
302,1,1,6,5.0167,1,2,0.0
303,1,1,6,5.0333,1,2,0.0
304,1,1,6,5.05,1,2,0.0
305,1,1,6,5.0667,1,2,0.0
306,1,1,6,5.0833,1,2,0.0
307,1,1,6,5.1,1,2,0.0
308,1,1,6,5.1167,1,2,0.0
309,1,1,6,5.1333,1,2,0.0
310,1,1,6,5.15,1,2,0.0
311,1,1,6,5.1667,1,2,0.0
312,1,1,6,5.1833,1,2,0.0
313,1,1,6,5.2,1,2,0.0
314,1,1,6,5.2167,1,2,0.0
315,1,1,6,5.2333,1,2,0.0
316,1,1,6,5.25,1,2,0.0
317,1,1,6,5.2667,1,2,0.0
318,1,1,6,5.2833,1,2,0.0
319,1,1,6,5.3,1,2,0.0
320,1,1,6,5.3167,1,2,0.0
321,1,1,6,5.3333,1,2,0.0
322,1,1,6,5.35,1,2,0.0
323,1,1,6,5.3667,1,2,0.0
324,1,1,6,5.3833,1,2,0.0
325,1,1,6,5.4,1,2,0.0
326,1,1,6,5.4167,1,2,0.0
327,1,1,6,5.4333,1,2,0.0
328,1,1,6,5.45,1,2,0.0
329,1,1,6,5.4667,1,2,0.0
330,1,1,6,5.4833,1,2,0.0
331,1,1,6,5.5,1,2,0.0
332,1,1,6,5.5167,1,2,0.0
333,1,1,6,5.5333,1,2,0.0
334,1,1,6,5.55,1,2,0.0
335,1,1,6,5.5667,1,2,0.0
336,1,1,6,5.5833,1,2,0.0
337,1,1,6,5.6,1,2,0.0
338,1,1,6,5.6167,1,2,0.0
339,1,1,6,5.6333,1,2,0.0
340,1,1,6,5.65,1,2,0.0
341,1,1,6,5.6667,1,2,0.0
342,1,1,6,5.6833,1,2,0.0
343,1,1,6,5.7,1,2,0.0
344,1,1,6,5.7167,1,2,0.0
345,1,1,6,5.7333,1,2,0.0
346,1,1,6,5.75,1,2,0.0
347,1,1,6,5.7667,1,2,0.0
348,1,1,6,5.7833,1,2,0.0
349,1,1,6,5.8,1,2,0.0
350,1,1,6,5.8167,1,2,0.0
351,1,1,6,5.8333,1,2,0.0
352,1,1,6,5.85,1,2,0.0
353,1,1,6,5.8667,1,2,0.0
354,1,1,6,5.8833,1,2,0.0
355,1,1,6,5.9,1,2,0.0
356,1,1,6,5.9167,1,2,0.0
357,1,1,6,5.9333,1,2,0.0
358,1,1,6,5.95,1,2,0.0
359,1,1,6,5.9667,1,2,0.0
