timestep,plant_id,scenario,production,up_activation,down_activation,area,fuel_type,status,startup
1,49927,3,0.0,0.0,0.0,3,Hydro,0,0
1,49928,1,0.0,0.0,0.0,3,Hydro,0,0
1,49928,2,0.0,0.0,0.0,3,Hydro,0,0
1,49928,3,0.0,0.0,0.0,3,Hydro,0,0
1,49929,1,0.0,0.0,0.0,3,Hydro,0,0
1,49929,2,0.0,0.0,0.0,3,Hydro,0,0
1,49929,3,0.0,0.0,0.0,3,Hydro,0,0
1,49930,1,0.0,0.0,0.0,3,Hydro,0,0
1,49930,2,0.0,0.0,0.0,3,Hydro,0,0
1,49930,3,0.0,0.0,0.0,3,Hydro,0,0
1,49931,1,0.0,0.0,0.0,3,Hydro,0,0
1,49931,2,0.0,0.0,0.0,3,Hydro,0,0
1,49931,3,0.0,0.0,0.0,3,Hydro,0,0
2,1,1,17.99,9.15925,0.0,1,Thermal,0,1
2,1,2,7.63,0.0,1.1981399999999955,1,Thermal,0,1
2,1,3,7.63,0.0,1.1981399999999955,1,Thermal,0,1
2,2,1,16.77,9.047210000000002,0.0,1,Thermal,0,1
2,2,2,7.72,0.0,0.0,1,Thermal,0,1
2,2,3,7.72,0.0,0.0,1,Thermal,0,1
2,3,1,75.99,0.0,0.0,1,Thermal,0,1
2,3,2,75.99,0.0,0.0,1,Thermal,0,1
2,3,3,75.99,0.0,0.0,1,Thermal,0,1
2,4,1,75.99,0.0,0.0,1,Thermal,0,1
2,4,2,75.99,0.0,0.0,1,Thermal,0,1
2,4,3,75.99,0.0,0.0,1,Thermal,0,1
2,5,1,17.99,9.15925,0.0,1,Thermal,0,1
2,5,2,7.63,0.0,1.1981399999999955,1,Thermal,0,1
2,5,3,7.63,0.0,1.1981399999999955,1,Thermal,0,1
2,6,1,1.05,0.0,0.9410999999999975,1,Thermal,0,1
2,6,2,1.05,0.0,0.9410999999999975,1,Thermal,0,1
2,6,3,1.05,0.0,0.9410999999999975,1,Thermal,0,1
2,7,1,75.99,0.0,0.0,1,Thermal,0,1
2,7,2,75.99,0.0,0.0,1,Thermal,0,1
2,7,3,75.99,0.0,0.0,1,Thermal,0,1
2,8,1,75.99,0.0,0.0,1,Thermal,0,1
2,8,2,75.99,0.0,0.0,1,Thermal,0,1
2,8,3,75.99,0.0,0.0,1,Thermal,0,1
2,9,1,354.99,0.0,0.0,1,Thermal,0,1
2,9,2,215.31,0.0,139.68171000000004,1,Thermal,0,1
2,9,3,353.9,0.0,1.0871999999999995,1,Thermal,0,1
2,10,1,54.99,0.0,0.0,1,Thermal,0,1
2,10,2,50.36,0.0,4.629380000000002,1,Thermal,0,1
2,10,3,54.99,0.0,0.0,1,Thermal,0,1
2,154,1,12.3,0.0,0.0,2,Wind,0,0
2,154,2,11.4,0.0,0.0,2,Wind,0,0
2,154,3,12.7,0.0,0.0,2,Wind,0,0
2,155,1,68.4,0.0,0.0,2,Wind,0,0
2,155,2,63.5,0.0,0.0,2,Wind,0,0
2,155,3,68.24,0.0,0.0,2,Wind,0,0
2,156,1,39.71,0.0,0.0,2,Wind,0,0
2,156,2,33.9,0.0,0.0,2,Wind,0,0
2,156,3,40.91,0.0,0.0,2,Wind,0,0
2,157,1,61.3,0.0,0.0,2,Wind,0,0
2,157,2,53.6,0.0,0.0,2,Wind,0,0
2,157,3,63.2,0.0,0.0,2,Wind,0,0
2,49900,1,0.0,0.0,0.0,3,Hydro,0,0
2,49900,2,0.0,0.0,0.0,3,Hydro,0,0
2,49900,3,0.0,0.0,0.0,3,Hydro,0,0
2,49901,1,3.13,1.1175799999999998,0.0,3,Hydro,0,0
2,49901,2,0.0,0.0,2.015200000000002,3,Hydro,0,0
2,49901,3,3.13,1.1175799999999998,0.0,3,Hydro,0,0
2,49902,1,3.8,1.3566799999999999,0.0,3,Hydro,0,0
2,49902,2,0.0,0.0,2.4464999999999977,3,Hydro,0,0
2,49902,3,3.8,1.3566799999999999,0.0,3,Hydro,0,0
2,49903,1,0.0,0.0,0.0,3,Hydro,0,0
2,49903,2,0.0,0.0,0.0,3,Hydro,0,0
2,49903,3,0.0,0.0,0.0,3,Hydro,0,0
2,49904,1,0.0,0.0,0.0,3,Hydro,0,0
2,49904,2,0.0,0.0,0.0,3,Hydro,0,0
2,49904,3,0.0,0.0,0.0,3,Hydro,0,0
2,49905,1,0.0,0.0,0.0,3,Hydro,0,0
2,49905,2,0.0,0.0,0.0,3,Hydro,0,0
2,49905,3,0.0,0.0,0.0,3,Hydro,0,0
2,49906,1,123.24,110.80815999999992,0.0,3,Hydro,0,0
2,49906,2,0.0,0.0,12.427920000000006,3,Hydro,0,0
2,49906,3,80.58,68.1521099999999,0.0,3,Hydro,0,0
2,49907,1,0.0,0.0,0.0,3,Hydro,0,0
2,49907,2,0.0,0.0,0.0,3,Hydro,0,0
2,49907,3,0.0,0.0,0.0,3,Hydro,0,0
2,49908,1,0.0,0.0,0.0,3,Hydro,0,0
