component,values,area,scenario
Up-reserve,4205.088012513392,2,5
Up-reserve,996.957073025,1,6
Up-reserve,4205.088012513392,2,6
Up-reserve,996.957073025,1,7
Up-reserve,4205.088012513392,2,7
Up-reserve,996.957073025,1,8
Up-reserve,4205.088012513392,2,8
Up-reserve,996.957073025,1,9
Up-reserve,4205.088012513392,2,9
Up-reserve,996.957073025,1,10
Up-reserve,4205.088012513392,2,10
Down-reserve,1210.400684612856,1,1
Down-reserve,2828.5309720232744,2,1
Down-reserve,1210.400684612856,1,2
Down-reserve,2828.5309720232744,2,2
Down-reserve,1210.400684612856,1,3
Down-reserve,2828.5309720232744,2,3
Down-reserve,1210.400684612856,1,4
Down-reserve,2828.5309720232744,2,4
Down-reserve,1210.400684612856,1,5
Down-reserve,2828.5309720232744,2,5
Down-reserve,1210.400684612856,1,6
Down-reserve,2828.5309720232744,2,6
Down-reserve,1210.400684612856,1,7
Down-reserve,2828.5309720232744,2,7
Down-reserve,1210.400684612856,1,8
Down-reserve,2828.5309720232744,2,8
Down-reserve,1210.400684612856,1,9
Down-reserve,2828.5309720232744,2,9
Down-reserve,1210.400684612856,1,10
Down-reserve,2828.5309720232744,2,10
