id,scenario,area,timestep,load,load_shedding,power_dumping
134,1,1,34,542.4,0.0,0.0
135,2,1,34,377.0,0.0,0.0
136,3,1,34,505.7,0.0,0.0
137,0,1,35,458.7,0.0,262.76868686868687
138,1,1,35,541.3,0.0,0.0
139,2,1,35,376.2,0.0,0.0
140,3,1,35,504.6,0.0,0.0
141,0,1,36,458.2,0.0,259.1252525252525
142,1,1,36,540.6,0.0,0.0
143,2,1,36,375.7,0.0,0.0
144,3,1,36,504.0,0.0,0.0
145,0,1,37,456.9,0.0,262.3676767676768
146,1,1,37,539.1,0.0,0.0
147,2,1,37,374.6,0.0,0.0
148,3,1,37,502.5,0.0,0.0
149,0,1,38,456.2,0.0,257.22525252525253
150,1,1,38,538.3,0.0,0.0
151,2,1,38,374.1,0.0,0.0
152,3,1,38,501.8,0.0,0.0
153,0,1,39,456.4,0.0,259.94747474747476
154,1,1,39,538.5,0.0,0.0
155,2,1,39,374.2,0.0,0.0
156,3,1,39,502.0,0.0,0.0
157,0,1,40,456.4,0.0,263.78080808080813
158,1,1,40,538.6,0.0,0.0
159,2,1,40,374.3,0.0,0.0
160,3,1,40,502.1,0.0,0.0
161,0,1,41,456.1,0.0,264.28383838383826
162,1,1,41,538.2,0.0,0.0
163,2,1,41,374.0,0.0,0.0
164,3,1,41,501.8,0.0,0.0
165,0,1,42,456.1,0.0,260.54545454545456
166,1,1,42,538.2,0.0,0.0
167,2,1,42,374.0,0.0,0.0
168,3,1,42,501.7,0.0,0.0
169,0,1,43,455.2,0.0,263.37676767676766
170,1,1,43,537.1,0.0,0.0
171,2,1,43,373.2,0.0,0.0
172,3,1,43,500.7,0.0,0.0
173,0,1,44,454.6,0.0,265.39898989898984
174,1,1,44,536.5,0.0,0.0
175,2,1,44,372.8,0.0,0.0
176,3,1,44,500.1,0.0,0.0
177,0,1,45,454.6,0.0,265.70303030303035
178,1,1,45,536.4,0.0,0.0
179,2,1,45,372.7,0.0,0.0
180,3,1,45,500.0,0.0,0.0
181,0,1,46,454.2,0.0,266.2070707070707
182,1,1,46,536.0,0.0,0.0
183,2,1,46,372.5,0.0,0.0
184,3,1,46,499.7,0.0,0.0
185,0,1,47,454.6,0.0,264.1757575757576
186,1,1,47,536.4,0.0,0.0
187,2,1,47,372.7,0.0,0.0
188,3,1,47,500.0,0.0,0.0
189,0,1,48,454.0,0.0,266.9151515151515
190,1,1,48,535.8,0.0,0.0
191,2,1,48,372.3,0.0,0.0
192,3,1,48,499.4,0.0,0.0
193,0,1,49,453.8,0.0,260.4373737373738
194,1,1,49,535.5,0.0,0.0
195,2,1,49,372.1,0.0,0.0
196,3,1,49,499.2,0.0,0.0
197,0,1,50,454.8,0.0,260.8292929292929
198,1,1,50,536.7,0.0,0.0
199,2,1,50,372.9,0.0,0.0
200,3,1,50,500.3,0.0,0.0
201,0,1,51,455.8,0.0,262.53333333333325
202,1,1,51,537.8,0.0,0.0
203,2,1,51,373.7,0.0,0.0
204,3,1,51,501.4,0.0,0.0
205,0,1,52,456.1,0.0,268.7313131313132
206,1,1,52,538.2,0.0,0.0
207,2,1,52,374.0,0.0,0.0
208,3,1,52,501.7,0.0,0.0
209,0,1,53,455.8,0.0,266.0626262626262
210,1,1,53,537.8,0.0,0.0
211,2,1,53,373.7,0.0,0.0
212,3,1,53,501.3,0.0,0.0
213,0,1,54,454.6,0.0,266.47272727272724
214,1,1,54,536.4,0.0,0.0
215,2,1,54,372.7,0.0,0.0
216,3,1,54,500.0,0.0,0.0
217,0,1,55,453.7,0.0,263.14141414141426
218,1,1,55,535.4,0.0,0.0
219,2,1,55,372.1,0.0,0.0
220,3,1,55,499.1,0.0,0.0
221,0,1,56,454.8,0.0,270.14747474747475
222,1,1,56,536.6,0.0,0.0
223,2,1,56,372.9,0.0,0.0
224,3,1,56,500.2,0.0,0.0
225,0,1,57,456.1,0.0,270.95353535353536
226,1,1,57,538.2,0.0,0.0
227,2,1,57,374.0,0.0,0.0
228,3,1,57,501.7,0.0,0.0
229,0,1,58,457.9,0.0,268.2444444444445
230,1,1,58,540.4,0.0,0.0
231,2,1,58,375.5,0.0,0.0
232,3,1,58,503.7,0.0,0.0
233,0,1,59,459.6,0.0,272.060606060606
234,1,1,59,542.4,0.0,0.0
235,2,1,59,376.9,0.0,0.0
236,3,1,59,505.6,0.0,0.0
237,0,1,60,460.5,0.0,272.66666666666663
238,1,1,60,543.4,0.0,0.0
239,2,1,60,377.6,0.0,0.0
240,3,1,60,506.5,0.0,0.0
241,0,1,61,461.2,0.0,271.2515151515151
242,1,1,61,544.2,0.0,0.0
243,2,1,61,378.2,0.0,0.0
244,3,1,61,507.3,0.0,0.0
245,0,1,62,464.4,0.0,272.05555555555554
246,1,1,62,548.0,0.0,0.0
247,2,1,62,380.8,0.0,0.0
248,3,1,62,510.9,0.0,0.0
249,0,1,63,468.1,0.0,269.9
250,1,1,63,552.3,0.0,0.0
251,2,1,63,383.8,0.0,0.0
252,3,1,63,514.9,0.0,0.0
253,0,1,64,469.6,0.0,268.4
254,1,1,64,554.1,0.0,0.0
255,2,1,64,385.0,0.0,0.0
256,3,1,64,516.5,0.0,0.0
257,0,1,65,469.8,0.0,268.20000000000005
258,1,1,65,554.3,0.0,0.0
259,2,1,65,385.2,0.0,0.0
260,3,1,65,516.7,0.0,0.0
261,0,1,66,471.1,0.0,266.9
262,1,1,66,555.9,0.0,0.0
263,2,1,66,386.3,0.0,0.0
264,3,1,66,518.2,0.0,0.0
265,0,1,67,472.0,0.0,266.0
266,1,1,67,557.0,0.0,0.0
267,2,1,67,387.1,0.0,0.0
268,3,1,67,519.2,0.0,0.0
269,0,1,68,473.5,0.0,264.5
270,1,1,68,558.7,0.0,0.0
271,2,1,68,388.2,0.0,0.0
272,3,1,68,520.8,0.0,0.0
273,0,1,69,475.3,0.0,262.70000000000005
274,1,1,69,560.8,0.0,0.0
275,2,1,69,389.7,0.0,0.0
276,3,1,69,522.8,0.0,0.0
277,0,1,70,476.3,0.0,261.70000000000005
278,1,1,70,562.0,0.0,0.0
279,2,1,70,390.6,0.0,0.0
280,3,1,70,523.9,0.0,0.0
281,0,1,71,477.1,0.0,260.9
282,1,1,71,562.9,0.0,0.0
283,2,1,71,391.2,0.0,0.0
284,3,1,71,524.8,0.0,0.0
285,0,1,72,478.2,0.0,259.80000000000007
286,1,1,72,564.3,0.0,0.0
287,2,1,72,392.1,0.0,0.0
288,3,1,72,526.0,0.0,0.0
289,0,1,73,479.1,0.0,258.9
290,1,1,73,565.3,0.0,0.0
291,2,1,73,392.9,0.0,0.0
292,3,1,73,527.0,0.0,0.0
293,0,1,74,483.0,0.0,255.00000000000003
294,1,1,74,570.0,0.0,0.0
295,2,1,74,396.1,0.0,0.0
296,3,1,74,531.3,0.0,0.0
297,0,1,75,487.7,0.0,250.30000000000004
298,1,1,75,575.5,0.0,0.0
299,2,1,75,399.9,0.0,0.0
300,3,1,75,536.5,0.0,0.0
301,0,1,76,490.1,0.0,247.9
302,1,1,76,578.4,0.0,0.0
303,2,1,76,401.9,0.0,0.0
304,3,1,76,539.2,0.0,0.0
305,0,1,77,491.9,0.0,246.10000000000005
306,1,1,77,580.4,0.0,0.0
307,2,1,77,403.3,0.0,0.0
308,3,1,77,541.0,0.0,0.0
309,0,1,78,493.2,0.0,244.80000000000004
310,1,1,78,582.0,0.0,0.0
311,2,1,78,404.5,0.0,0.0
312,3,1,78,542.6,0.0,0.0
313,0,1,79,494.2,0.0,243.80000000000004
314,1,1,79,583.2,0.0,0.0
315,2,1,79,405.3,0.0,0.0
316,3,1,79,543.7,0.0,0.0
317,0,1,80,496.3,0.0,241.70000000000002
318,1,1,80,585.6,0.0,0.0
319,2,1,80,407.0,0.0,0.0
320,3,1,80,545.9,0.0,0.0
321,0,1,81,497.7,0.0,240.30000000000004
322,1,1,81,587.3,0.0,0.0
323,2,1,81,408.1,0.0,0.0
324,3,1,81,547.4,0.0,0.0
325,0,1,82,498.6,0.0,239.4
326,1,1,82,588.3,0.0,0.0
327,2,1,82,408.8,0.0,0.0
328,3,1,82,548.5,0.0,0.0
329,0,1,83,498.5,0.0,239.50000000000003
330,1,1,83,588.2,0.0,0.0
331,2,1,83,408.8,0.0,0.0
332,3,1,83,548.3,0.0,0.0
333,0,1,84,497.9,0.0,240.10000000000005
334,1,1,84,587.5,0.0,0.0
335,2,1,84,408.2,0.0,0.0
336,3,1,84,547.6,0.0,0.0
337,0,1,85,496.5,0.0,241.50000000000003
338,1,1,85,585.9,0.0,0.0
339,2,1,85,407.2,0.0,0.0
340,3,1,85,546.2,0.0,0.0
341,0,1,86,494.8,0.0,243.20000000000002
342,1,1,86,583.9,0.0,0.0
343,2,1,86,405.8,0.0,0.0
344,3,1,86,544.3,0.0,0.0
345,0,1,87,494.5,0.0,243.50000000000003
346,1,1,87,583.6,0.0,0.0
347,2,1,87,405.5,0.0,0.0
348,3,1,87,544.0,0.0,0.0
349,0,1,88,490.5,0.0,247.50000000000003
350,1,1,88,578.8,0.0,0.0
351,2,1,88,402.2,0.0,0.0
352,3,1,88,539.6,0.0,0.0
353,0,1,89,486.8,0.0,251.20000000000002
354,1,1,89,574.4,0.0,0.0
355,2,1,89,399.2,0.0,0.0
356,3,1,89,535.5,0.0,0.0
357,0,1,90,481.4,0.0,256.6
358,1,1,90,568.0,0.0,0.0
359,2,1,90,394.7,0.0,0.0
360,3,1,90,529.5,0.0,0.0
361,0,1,91,475.8,0.0,262.20000000000005
362,1,1,91,561.4,0.0,0.0
363,2,1,91,390.1,0.0,0.0
364,3,1,91,523.4,0.0,0.0
365,0,1,92,468.7,0.0,269.30000000000007
366,1,1,92,553.0,0.0,0.0
367,2,1,92,384.3,0.0,0.0
368,3,1,92,515.5,0.0,0.0
369,0,1,93,461.3,0.0,276.70000000000005
370,1,1,93,544.3,0.0,0.0
371,2,1,93,378.2,0.0,0.0
372,3,1,93,507.4,0.0,0.0
373,0,1,94,451.5,0.0,286.5
374,1,1,94,532.7,0.0,0.0
375,2,1,94,370.2,0.0,0.0
376,3,1,94,496.6,0.0,0.0
377,0,1,95,441.5,0.0,296.5
378,1,1,95,521.0,0.0,0.0
379,2,1,95,362.0,0.0,0.0
380,3,1,95,485.6,0.0,0.0
381,0,1,96,430.7,0.0,307.30000000000007
382,1,1,96,508.2,0.0,0.0
383,2,1,96,353.2,0.0,0.0
384,3,1,96,473.8,0.0,0.0
385,0,1,97,418.8,0.0,319.20000000000005
386,1,1,97,494.2,0.0,0.0
387,2,1,97,343.4,0.0,0.0
388,3,1,97,460.7,0.0,0.0
389,0,1,98,408.1,0.0,329.9
390,1,1,98,481.5,0.0,0.0
391,2,1,98,334.6,0.0,0.0
392,3,1,98,448.9,0.0,0.0
393,0,1,99,396.8,0.0,330.710101010101
394,1,1,99,468.3,0.0,0.0
395,2,1,99,325.4,0.0,0.0
396,3,1,99,436.5,0.0,0.0
397,0,1,100,385.6,0.0,330.9242424242424
398,1,1,100,455.0,0.0,0.0
399,2,1,100,316.2,0.0,0.0
400,3,1,100,424.1,0.0,0.0
401,0,1,101,373.7,0.0,325.3393939393939
402,1,1,101,441.0,0.0,0.0
403,2,1,101,306.5,0.0,0.0
404,3,1,101,411.1,0.0,0.0
405,0,1,102,362.3,0.0,331.6545454545455
406,1,1,102,427.5,0.0,0.0
407,2,1,102,297.1,0.0,0.0
408,3,1,102,398.5,0.0,0.0
409,0,1,103,350.5,0.0,332.5757575757576
410,1,1,103,413.6,0.0,0.0
411,2,1,103,287.4,0.0,0.0
412,3,1,103,385.5,0.0,0.0
413,0,1,104,339.5,0.0,301.60707070707065
414,1,1,104,400.6,0.0,0.0
415,2,1,104,278.4,0.0,0.0
416,3,1,104,373.4,0.0,0.0
417,0,1,105,326.4,0.0,324.6
418,1,1,105,385.2,0.0,0.0
419,2,1,105,267.7,0.0,0.0
420,3,1,105,359.1,0.0,0.0
421,0,1,106,315.5,0.0,338.0656565656566
422,1,1,106,372.3,0.0,0.0
423,2,1,106,258.7,0.0,0.0
424,3,1,106,347.0,0.0,0.0
425,0,1,107,307.8,0.0,340.2949494949496
426,1,1,107,363.2,0.0,0.0
427,2,1,107,252.4,0.0,0.0
428,3,1,107,338.6,0.0,0.0
429,0,1,108,304.2,0.0,342.82323232323245
430,1,1,108,359.0,0.0,0.0
431,2,1,108,249.5,0.0,0.0
432,3,1,108,334.7,0.0,0.0
433,0,1,109,300.5,0.0,350.1
434,1,1,109,354.6,0.0,0.0
435,2,1,109,246.4,0.0,0.0
436,3,1,109,330.6,0.0,0.0
437,0,1,110,288.5,0.0,351.0222222222221
438,1,1,110,340.4,0.0,0.0
439,2,1,110,236.5,0.0,0.0
440,3,1,110,317.3,0.0,0.0
441,0,1,111,284.7,0.0,352.9454545454546
442,1,1,111,335.9,0.0,0.0
443,2,1,111,233.4,0.0,0.0
444,3,1,111,313.1,0.0,0.0
445,0,1,112,280.8,0.0,255.83027242118155
446,1,1,112,331.4,0.0,0.0
447,2,1,112,230.3,0.0,0.0
448,3,1,112,308.9,0.0,0.0
449,0,1,113,275.5,0.0,265.7905723905724
450,1,1,113,325.1,0.0,0.0
451,2,1,113,225.9,0.0,0.0
452,3,1,113,303.1,0.0,0.0
453,0,1,114,271.2,0.0,271.26356494235284
454,1,1,114,320.0,0.0,0.0
455,2,1,114,222.4,0.0,0.0
456,3,1,114,298.3,0.0,0.0
457,0,1,115,267.9,0.0,270.3116824813795
458,1,1,115,316.1,0.0,0.0
459,2,1,115,219.7,0.0,0.0
460,3,1,115,294.7,0.0,0.0
461,0,1,116,264.2,0.0,281.8013978165494
462,1,1,116,311.8,0.0,0.0
463,2,1,116,216.7,0.0,0.0
464,3,1,116,290.7,0.0,0.0
465,0,1,117,261.4,0.0,272.9921436588104
466,1,1,117,308.5,0.0,0.0
467,2,1,117,214.4,0.0,0.0
468,3,1,117,287.6,0.0,0.0
469,0,1,118,259.0,0.0,291.22602795633105
470,1,1,118,305.6,0.0,0.0
471,2,1,118,212.3,0.0,0.0
472,3,1,118,284.9,0.0,0.0
473,0,1,119,256.2,0.0,290.98631772268146
474,1,1,119,302.4,0.0,0.0
475,2,1,119,210.1,0.0,0.0
476,3,1,119,281.9,0.0,0.0
477,0,1,120,253.1,0.0,294.2176716661566
478,1,1,120,298.6,0.0,0.0
479,2,1,120,207.5,0.0,0.0
480,3,1,120,278.4,0.0,0.0
481,0,1,121,250.5,0.0,303.2433323130293
482,1,1,121,295.6,0.0,0.0
483,2,1,121,205.4,0.0,0.0
484,3,1,121,275.5,0.0,0.0
485,0,1,122,249.6,0.0,310.35793286399354
486,1,1,122,294.5,0.0,0.0
487,2,1,122,204.7,0.0,0.0
488,3,1,122,274.6,0.0,0.0
489,0,1,123,249.3,0.0,305.7451382511989
490,1,1,123,294.2,0.0,0.0
491,2,1,123,204.4,0.0,0.0
492,3,1,123,274.2,0.0,0.0
493,0,1,124,247.3,0.0,296.8379247015611
494,1,1,124,291.9,0.0,0.0
495,2,1,124,202.8,0.0,0.0
496,3,1,124,272.1,0.0,0.0
497,0,1,125,245.1,0.0,313.4413631262117
498,1,1,125,289.2,0.0,0.0
499,2,1,125,200.9,0.0,0.0
500,3,1,125,269.6,0.0,0.0
501,0,1,126,242.8,0.0,316.5706866646261
502,1,1,126,286.5,0.0,0.0
503,2,1,126,199.1,0.0,0.0
504,3,1,126,267.1,0.0,0.0
505,0,1,127,241.1,0.0,314.91374349556173
506,1,1,127,284.5,0.0,0.0
507,2,1,127,197.7,0.0,0.0
508,3,1,127,265.2,0.0,0.0
509,0,1,128,239.5,0.0,316.62584430160194
510,1,1,128,282.6,0.0,0.0
511,2,1,128,196.4,0.0,0.0
512,3,1,128,263.5,0.0,0.0
513,0,1,129,236.9,0.0,320.0694214876034
514,1,1,129,279.6,0.0,0.0
515,2,1,129,194.3,0.0,0.0
516,3,1,129,260.6,0.0,0.0
517,0,1,130,234.9,0.0,323.51705948372626
518,1,1,130,277.2,0.0,0.0
519,2,1,130,192.6,0.0,0.0
520,3,1,130,258.4,0.0,0.0
521,0,1,131,232.2,0.0,327.16571778389965
522,1,1,131,274.0,0.0,0.0
523,2,1,131,190.4,0.0,0.0
524,3,1,131,255.5,0.0,0.0
525,0,1,132,230.6,0.0,327.96056524844414
526,1,1,132,272.1,0.0,0.0
527,2,1,132,189.1,0.0,0.0
528,3,1,132,253.7,0.0,0.0
529,0,1,133,228.2,0.0,329.4533108866443
530,1,1,133,269.2,0.0,0.0
531,2,1,133,187.1,0.0,0.0
532,3,1,133,251.0,0.0,0.0
533,0,1,134,226.0,0.0,324.23551678400173
534,1,1,134,266.7,0.0,0.0
535,2,1,134,185.3,0.0,0.0
536,3,1,134,248.6,0.0,0.0
537,0,1,135,226.2,0.0,333.51314151617186
538,1,1,135,267.0,0.0,0.0
539,2,1,135,185.5,0.0,0.0
540,3,1,135,248.9,0.0,0.0
541,0,1,136,225.8,0.0,334.6283338434854
542,1,1,136,266.4,0.0,0.0
543,2,1,136,185.1,0.0,0.0
544,3,1,136,248.3,0.0,0.0
545,0,1,137,225.0,0.0,336.35266809509244
546,1,1,137,265.5,0.0,0.0
547,2,1,137,184.5,0.0,0.0
548,3,1,137,247.5,0.0,0.0
549,0,1,138,226.0,0.0,330.126752372207
550,1,1,138,266.7,0.0,0.0
551,2,1,138,185.3,0.0,0.0
552,3,1,138,248.6,0.0,0.0
553,0,1,139,226.4,0.0,331.65210692786457
554,1,1,139,267.2,0.0,0.0
555,2,1,139,185.7,0.0,0.0
556,3,1,139,249.1,0.0,0.0
557,0,1,140,225.4,0.0,336.9525966738089
558,1,1,140,266.0,0.0,0.0
559,2,1,140,184.8,0.0,0.0
560,3,1,140,248.0,0.0,0.0
561,0,1,141,224.2,0.0,344.39268441995716
562,1,1,141,264.6,0.0,0.0
563,2,1,141,183.9,0.0,0.0
564,3,1,141,246.6,0.0,0.0
565,0,1,142,224.8,0.0,327.9667891031528
566,1,1,142,265.3,0.0,0.0
567,2,1,142,184.3,0.0,0.0
568,3,1,142,247.3,0.0,0.0
569,0,1,143,224.2,0.0,332.9632282420162
570,1,1,143,264.5,0.0,0.0
571,2,1,143,183.8,0.0,0.0
572,3,1,143,246.6,0.0,0.0
573,0,1,144,223.9,0.0,333.67234976022866
574,1,1,144,264.2,0.0,0.0
575,2,1,144,183.6,0.0,0.0
576,3,1,144,246.3,0.0,0.0
577,0,1,145,223.3,0.0,342.3367819610245
578,1,1,145,263.5,0.0,0.0
579,2,1,145,183.1,0.0,0.0
580,3,1,145,245.7,0.0,0.0
581,0,1,146,223.0,0.0,336.8230690745843
582,1,1,146,263.1,0.0,0.0
583,2,1,146,182.9,0.0,0.0
584,3,1,146,245.3,0.0,0.0
585,0,1,147,222.6,0.0,335.2895622895624
586,1,1,147,262.7,0.0,0.0
587,2,1,147,182.6,0.0,0.0
588,3,1,147,244.9,0.0,0.0
589,0,1,148,221.9,0.0,328.5514743393532
590,1,1,148,261.8,0.0,0.0
591,2,1,148,181.9,0.0,0.0
592,3,1,148,244.1,0.0,0.0
593,0,1,149,222.0,0.0,347.93318028772586
594,1,1,149,262.0,0.0,0.0
595,2,1,149,182.1,0.0,0.0
596,3,1,149,244.2,0.0,0.0
597,0,1,150,222.0,0.0,333.9529741863076
598,1,1,150,262.0,0.0,0.0
599,2,1,150,182.1,0.0,0.0
600,3,1,150,244.2,0.0,0.0
601,0,1,151,223.4,0.0,339.46972757881855
602,1,1,151,263.6,0.0,0.0
603,2,1,151,183.2,0.0,0.0
604,3,1,151,245.7,0.0,0.0
605,0,1,152,225.4,0.0,346.0088154269974
606,1,1,152,266.0,0.0,0.0
607,2,1,152,184.8,0.0,0.0
608,3,1,152,248.0,0.0,0.0
609,0,1,153,226.7,0.0,338.1585756555454
610,1,1,153,267.5,0.0,0.0
611,2,1,153,185.9,0.0,0.0
612,3,1,153,249.3,0.0,0.0
613,0,1,154,226.3,0.0,329.2788797061525
614,1,1,154,267.1,0.0,0.0
615,2,1,154,185.6,0.0,0.0
616,3,1,154,248.9,0.0,0.0
617,0,1,155,225.7,0.0,350.8073053770025
618,1,1,155,266.4,0.0,0.0
619,2,1,155,185.1,0.0,0.0
620,3,1,155,248.3,0.0,0.0
621,0,1,156,223.2,0.0,337.0260993776146
622,1,1,156,263.3,0.0,0.0
623,2,1,156,183.0,0.0,0.0
624,3,1,156,245.5,0.0,0.0
625,0,1,157,222.1,0.0,342.2470156106521
626,1,1,157,262.1,0.0,0.0
627,2,1,157,182.1,0.0,0.0
628,3,1,157,244.3,0.0,0.0
629,0,1,158,223.0,0.0,340.9267217630854
630,1,1,158,263.1,0.0,0.0
631,2,1,158,182.8,0.0,0.0
632,3,1,158,245.3,0.0,0.0
633,0,1,159,221.9,0.0,341.33282318130813
634,1,1,159,261.8,0.0,0.0
635,2,1,159,181.9,0.0,0.0
636,3,1,159,244.1,0.0,0.0
637,0,1,160,224.4,0.0,330.93690439751055
638,1,1,160,264.8,0.0,0.0
639,2,1,160,184.0,0.0,0.0
640,3,1,160,246.8,0.0,0.0
641,0,1,161,225.9,0.0,339.61661054994397
642,1,1,161,266.6,0.0,0.0
643,2,1,161,185.3,0.0,0.0
644,3,1,161,248.5,0.0,0.0
645,0,1,162,230.4,0.0,336.5770329558209
646,1,1,162,271.8,0.0,0.0
647,2,1,162,188.9,0.0,0.0
648,3,1,162,253.4,0.0,0.0
649,0,1,163,230.7,0.0,332.90188756249376
650,1,1,163,272.2,0.0,0.0
651,2,1,163,189.1,0.0,0.0
652,3,1,163,253.7,0.0,0.0
653,0,1,164,231.0,0.0,343.49978573614936
654,1,1,164,272.6,0.0,0.0
655,2,1,164,189.4,0.0,0.0
656,3,1,164,254.1,0.0,0.0
657,0,1,165,231.4,0.0,346.75454545454556
658,1,1,165,273.0,0.0,0.0
659,2,1,165,189.7,0.0,0.0
660,3,1,165,254.5,0.0,0.0
661,0,1,166,234.0,0.0,331.65196408529744
