area,scenario,up-activation continuous,up-activation discrete,down-activation continuous,down-activation discrete
1,1,974.5497548651339,900.7999999999998,33.96773000000003,0
2,1,2393.4521033166866,2212.3600000000006,215.2384699001002,0
1,2,16.597090000000005,0,1969.0468251748273,1936.7600000000002
2,2,203.97720041958053,0,1979.7534514585402,1795.3400000000001
1,3,517.3299599999992,454.1,69.40995000000012,0
2,3,1364.7632164635365,1137.6799999999998,215.24974120879148,0
1,4,99.16450999999947,40.4,501.2475486313688,433.49999999999994
2,4,269.1553416383619,0,742.2539687412591,486.73
1,5,29.697999999999997,0,875.3834553246766,829.6
2,5,212.67756041958057,0,1193.26487078921,1001.1100000000005
1,6,222.63919741258658,85.2,144.3090302197803,0
2,6,676.3257434265738,367.9399999999999,298.4311612087914,2.4699999999999998
1,7,261.4990921578414,151,119.93870419580432,0
2,7,773.4131426473527,490.3500000000001,268.8681712087915,0
1,8,517.3299099999992,454.09999999999997,69.40984000000014,0
2,8,1364.756576503497,1137.6799999999998,215.24970120879146,0
1,9,99.16719999999947,40.4,501.25038863136876,433.5
2,9,269.16531163836186,0,742.2634087412591,486.73
1,10,20.463220000000007,0,1391.52770021978,1347.42
2,10,207.47505041958058,5.9,1613.6889986813176,1440.4800000000005
