timestep_fractional,Continuous up_activation,Continuous down_activation,Discrete down_activation,Discrete up_activation,Imbalance continuous,Imbalance discrete
0,303.60000000000014,522.3299999999999,386.49999999999994,351.93,-27.049999999999272,226.300000000002
0.0167,311.22999999999996,508.9399999999999,386.49999999999994,351.93,-5.979895059406772,226.300000000002
0.0333,318.3499999999999,496.45000000000005,386.49999999999994,351.93,13.509402012346982,226.300000000002
0.05,324.88999999999976,484.9499999999997,386.49999999999994,351.93,31.516180187503778,226.300000000002
0.0667,330.97999999999996,474.53999999999985,386.49999999999994,351.93,48.13581590123613,226.300000000002
0.0833,336.61999999999995,464.7799999999997,386.49999999999994,351.93,63.460773051700016,226.300000000002
0.1,341.8199999999998,456.0499999999997,386.49999999999994,351.93,-74.61939700000221,74.09999999999764
0.1167,346.6499999999999,447.8399999999998,386.49999999999994,351.93,-61.61805542978436,74.09999999999764
0.1333,351.2999999999995,440.37999999999977,386.49999999999994,351.93,-49.65147595061899,74.09999999999764
0.15,355.4699999999996,433.4599999999996,386.49999999999994,351.93,-38.63884481249988,74.09999999999764
0.1667,359.3799999999993,427.4500000000001,386.49999999999994,351.93,-28.502260802471937,74.09999999999764
0.1833,363.0300000000001,421.69000000000017,386.49999999999994,351.93,10.43326475540016,103.69999999999891
0.2,366.4200000000004,416.4400000000003,386.49999999999994,351.93,19.03980799999772,103.69999999999891
0.2167,369.5900000000004,411.85999999999996,386.49999999999994,351.93,26.986532533177524,103.69999999999891
0.2333,372.75999999999993,407.47,386.49999999999994,351.93,34.339689419753086,103.69999999999891
0.25,375.60999999999984,403.5100000000001,386.49999999999994,351.93,41.16261718749956,103.69999999999891
0.2667,378.4100000000002,399.9100000000002,386.49999999999994,351.93,-8.98425817284351,47.19999999999891
0.2833,381.0299999999997,396.72000000000025,386.49999999999994,351.93,-3.0434232075622276,47.19999999999891
0.3,383.61000000000007,393.7499999999999,386.49999999999994,351.93,2.539723000001686,47.19999999999891
0.3167,386.19999999999965,390.86000000000007,386.49999999999994,351.93,7.816868829475425,47.19999999999891
0.3333,388.6899999999998,388.4399999999999,386.49999999999994,351.93,12.836790123452374,47.19999999999891
0.35,391.2499999999999,386.1799999999998,386.49999999999994,351.93,-5.8546498124997015,23.699999999999818
0.3667,393.69,384.05,386.49999999999994,351.93,-1.21450020987686,23.699999999999818
0.3833,396.2099999999997,382.0999999999999,386.49999999999994,351.93,3.2972771628074042,23.699999999999818
0.4,398.86999999999966,380.2899999999997,386.49999999999994,351.93,7.7178079999994225,23.699999999999818
0.4167,401.47,378.51999999999975,386.49999999999994,351.93,12.08130545910808,23.699999999999818
0.4333,404.15999999999946,376.98999999999984,386.49999999999994,351.93,21.91907016049572,29.200000000000728
0.45,407.1700000000003,375.4400000000001,386.49999999999994,351.93,26.25949018749816,29.200000000000728
0.4667,410.0699999999999,374.0000000000004,386.49999999999994,351.93,30.628041086421035,29.200000000000728
0.4833,413.19000000000057,372.82,386.49999999999994,351.93,35.04728586651527,29.200000000000728
0.5,416.55000000000024,371.5200000000001,386.49999999999994,351.93,39.53687499999978,29.200000000000728
0.5167,419.89000000000027,370.41,386.49999999999994,351.93,-49.18645357793412,-64.10000000000127
0.5333,423.5800000000001,369.3500000000001,386.49999999999994,351.93,-44.50887446913566,-64.10000000000127
0.55,427.4099999999998,368.3999999999999,386.49999999999994,351.93,-39.719474812502085,-64.10000000000127
0.5667,431.41,367.5600000000002,386.49999999999994,351.93,-34.81025428394969,-64.10000000000127
0.5833,435.5899999999999,366.66999999999996,386.49999999999994,351.93,-29.776125096451324,-64.10000000000127
0.6,440.1800000000002,366.1399999999999,386.49999999999994,351.93,59.885088000000906,20.400000000000546
0.6167,444.82999999999976,365.48999999999995,386.49999999999994,351.93,65.17264771836653,20.400000000000546
0.6333,449.8500000000002,365.04999999999984,386.49999999999994,351.93,70.58290423456765,20.400000000000546
0.65,455.12999999999977,364.7799999999997,386.49999999999994,351.93,76.10929518749981,20.400000000000546
0.6667,460.56999999999965,364.67999999999984,386.49999999999994,351.93,81.74234567901385,20.400000000000546
