Imbalance continuous,timestep_fractional,Imbalance discrete
4.9500000000000455,0,12.900000000000091
0.8147000493827363,0.0167,12.900000000000091
1.9631267160493735,0.0333,12.900000000000091
0.03169599999955608,0.05,12.900000000000091
3.9053651358021853,0.0667,12.900000000000091
8.602098765431947,0.0833,12.900000000000091
8.125264000000243,0.1,8.5
4.115263012345622,0.1167,8.5
1.1978170864199456,0.1333,8.5
0.4057759999998325,0.15,8.5
0.6828395061727406,0.1667,8.5
4.129317728395108,0.1833,4.199999999999818
2.5497760000000653,0.2,4.199999999999818
0.8574006913581798,0.2167,4.199999999999818
0.12600079012327114,0.2333,4.199999999999818
0.6300000000001091,0.25,4.199999999999818
5.204761086419694,0.2667,1.900000000000091
2.952974419752991,0.2833,1.900000000000091
0.866928000000371,0.3,1.900000000000091
0.8672329876540061,0.3167,1.900000000000091
2.1295061728392284,0.3333,1.900000000000091
0.43396800000027724,0.35,1.400000000000091
0.2109062716049266,0.3667,1.400000000000091
0.4228825679012971,0.3833,1.400000000000091
0.9253280000002633,0.4,1.400000000000091
1.5075308641976335,0.4167,1.400000000000091
0.9926366419754231,0.4333,0.5
0.8376479999999447,0.45,0.5
0.2665752098764642,0.4667,0.5
2.7953159506173506,0.4833,0.5
7.289999999999964,0.5,0.5
1.8488128395063086,0.5167,3.7999999999999545
0.4578558024693393,0.5333,3.7999999999999545
0.9736800000002859,0.55,3.7999999999999545
2.717695802469507,0.5667,3.7999999999999545
5.0961728395066075,0.5833,3.7999999999999545
4.299760000000106,0.6,8.100000000000136
2.094114567901215,0.6167,8.100000000000136
0.5260434567901484,0.6333,8.100000000000136
0.15016000000014174,0.65,8.100000000000136
0.2349382716049604,0.6667,8.100000000000136
10.634086913580404,0.6833,4.2999999999999545
7.957520000000159,0.7,4.2999999999999545
4.220504691357974,0.7167,4.2999999999999545
0.40695604938287033,0.7333,4.2999999999999545
5.669999999999845,0.75,4.2999999999999545
1.273363358024426,0.7667,2
0.21390479012347896,0.7833,2
0.0032320000002528104,0.8,2
1.2625752098767862,0.8167,2
3.0046913580249566,0.8333,2
2.4270879999999124,0.85,5.199999999999818
0.9866662716049177,0.8667,5.199999999999818
0.12518182716030424,0.8833,5.199999999999818
0.008992000000262124,0.9,5.199999999999818
0.6297530864194414,0.9167,5.199999999999818
6.315739654321078,0.9333,3.1000000000001364
4.405392000000347,0.95,3.1000000000001364
