area,scenario,up-activation continuous,up-activation discrete,down-activation continuous,down-activation discrete
1,1,1036.0780787250976,1006.0000000000001,5.716280000000037,0
2,1,2306.594697649407,2201.5499999999997,133.08055394422271,0
1,2,12.8849,0,1827.1409484063845,1795.87
2,2,163.97334147410365,0,1989.1622761753065,1841.8599999999994
1,3,578.4233054581671,566.9000000000001,13.742379999999827,0
2,3,1256.1379597211153,1119.3700000000003,136.65504394422277,0
1,4,91.95978999999977,44.55,377.03147302788756,326.8600000000001
2,4,208.96601207171318,0,711.4316673705273,503.09000000000043
1,5,28.120849999999994,0,753.8244713147574,714.99
2,5,170.4752314741036,0,1182.9137024701288,1021.1400000000007
1,6,235.83805051792768,198.52999999999997,39.6319786454186,0
2,6,593.9211001992035,350.01999999999975,246.73185394422285,3.04
1,7,287.81039247011887,261.93,27.794725537848425,0
2,7,685.434018286852,473.63000000000005,211.96383394422293,0
1,8,578.4233054581673,566.9400000000003,13.742379999999827,0
2,8,1256.1327097211151,1119.3700000000001,136.65515394422277,0
1,9,91.95978999999977,44.55,377.03147302788756,326.86000000000007
2,9,208.96495207171318,0,711.4305573705274,503.1300000000006
1,10,19.281630000000007,0,1262.1646234661512,1222.8100000000004
2,10,165.06043147410367,0,1611.1031580478175,1464.2599999999995
