Imbalance continuous,timestep_fractional,Imbalance discrete
3.580000000000041,0,20.100000000000023
1.4058340686726751,0.0167,20.100000000000023
0.5796741604937097,0.0333,20.100000000000023
2.3887704375000567,0.05,20.100000000000023
4.033340641975201,0.0667,20.100000000000023
5.5249107831790525,0.0833,20.100000000000023
9.52535300000011,0.1,3.7000000000000455
8.306644439043112,0.1167,3.7000000000000455
7.208517135802595,0.1333,3.7000000000000455
6.220884562500032,0.15,3.7000000000000455
5.334020061728438,0.1667,3.7000000000000455
1.9614431535494532,0.1833,10.200000000000045
2.6745119999998224,0.2,10.200000000000045
3.3138335239196977,0.2167,10.200000000000045
3.8876949012346813,0.2333,10.200000000000045
4.404023437499973,0.25,10.200000000000045
1.0296134320989268,0.2667,4.300000000000068
0.6060081427468731,0.2833,4.300000000000068
0.21831299999985276,0.3,4.300000000000068
0.13995982021617692,0.3167,4.300000000000068
0.4749382716048558,0.3333,4.300000000000068
1.5076095625001926,0.35,2
1.2022754691356567,0.3667,2
0.904011105710083,0.3833,2
0.6081280000000788,0.4,2
0.310297550154246,0.4167,2
3.593448975308661,0.4333,5.600000000000023
3.906720437499871,0.45,5.600000000000023
4.232765827160506,0.4667,5.600000000000023
4.574474264660694,0.4833,5.600000000000023
4.9343750000000455,0.5,5.600000000000023
6.885362587191253,0.5167,6.599999999999909
6.482928987654304,0.5333,6.599999999999909
6.0568745624999565,0.55,6.599999999999909
5.606109543209868,0.5667,6.599999999999909
5.1299040316357605,0.5833,6.599999999999909
9.072111999999947,0.6,7.100000000000023
9.599948709104865,0.6167,7.100000000000023
10.153256382715995,0.6333,7.100000000000023
10.731325437500004,0.65,7.100000000000023
11.333086419753045,0.6667,7.100000000000023
1.4428899945987723,0.6833,6.2999999999999545
0.7983929999999191,0.7,6.2999999999999545
0.13557166126543052,0.7167,6.2999999999999545
0.5430650864198014,0.7333,6.2999999999999545
1.2346484375000273,0.75,6.2999999999999545
7.064050283950564,0.7667,15.299999999999955
6.356619624228415,0.7833,15.299999999999955
5.647007999999914,0.8,15.299999999999955
4.939523698302423,0.8167,15.299999999999955
4.238834876543251,0.8333,15.299999999999955
3.1500304375001633,0.85,8.599999999999909
3.8216843456790457,0.8667,8.599999999999909
4.470379079475379,0.8833,8.599999999999909
5.090007000000014,0.9,8.599999999999909
5.674100597993856,0.9167,8.599999999999909
1.4841675061727528,0.9333,16.299999999999955
0.9919845624999653,0.95,16.299999999999955
0.5568976913580173,0.9667,16.299999999999955
0.1868138834876163,0.9833,16.299999999999955
0.11000000000001364,1,16.299999999999955
1.1323018587961542,1.0167,8
0.8725467777777567,1.0333,8
0.6107405624998137,1.05,8
0.34688474074062015,1.0667,8
0.08097656249981355,1.0833,8
9.886990999999966,1.1,17.700000000000045
10.157029252314942,1.1167,17.700000000000045
10.429153777777742,1.1333,17.700000000000045
10.703384437500176,1.15,17.700000000000045
10.979745370370438,1.1667,17.700000000000045
0.14173500694448649,1.1833,6.2999999999999545
0.13897599999984322,1.2,6.2999999999999545
0.4219153634257964,1.2167,6.2999999999999545
0.7071243333334678,1.2333,6.2999999999999545
0.9946484375000182,1.25,6.2999999999999545
5.215462518518734,1.2667,0.20000000000004547
4.923154451388768,1.2833,0.20000000000004547
4.628368999999907,1.3,0.20000000000004547
4.331043525462974,1.3167,0.20000000000004547
4.031111111111272,1.3333,0.20000000000004547
3.128500562499994,1.35,0.39999999999997726
2.8231364074073326,1.3667,0.39999999999997726
2.514938895833552,1.3833,0.39999999999997726
2.203824000000054,1.4,0.39999999999997726
1.889703414351743,1.4167,0.39999999999997726
0.5724845555556612,1.4333,1.3999999999999773
0.2520705625001938,1.45,1.3999999999999773
0.07163970370368133,1.4667,1.3999999999999773
0.398751659722393,1.4833,1.3999999999999773
0.7293750000000045,1.5,1.3999999999999773
8.763623696759282,1.5167,9.100000000000023
9.101616000000035,1.5333,9.100000000000023
9.443474437499958,1.55,9.100000000000023
9.789325814814788,1.5667,9.100000000000023
10.139301215277783,1.5833,9.100000000000023
1.3064640000002328,1.6,2.7000000000000455
0.9478301921296861,1.6167,2.7000000000000455
0.5846534444444842,1.6333,2.7000000000000455
0.21678556250003567,1.65,2.7000000000000455
0.15592592592588517,1.6667,2.7000000000000455
1.1663622291666798,1.6833,4.399999999999977
0.7834890000000314,1.7,4.399999999999977
0.3952890810185181,1.7167,4.399999999999977
0.0015928888889220616,1.7333,4.399999999999977
0.39777343750006366,1.75,4.399999999999977
6.502988037036971,1.7667,1.2999999999999545
6.914233326388853,1.7833,1.2999999999999545
7.331695999999965,1.8,1.2999999999999545
7.755567030092493,1.8167,1.2999999999999545
8.186041666666597,1.8333,1.2999999999999545
1.8766805624999847,1.85,9.199999999999989
1.4323958518518225,1.8667,9.199999999999989
0.9808961180555684,1.8833,9.199999999999989
0.5219689999999559,1.9,9.199999999999989
0.05539785879631154,1.9167,9.199999999999989
18.280961777777748,1.9333,27.899999999999977
17.798435562500003,1.95,27.899999999999977
17.307589740740696,1.9667,27.899999999999977
16.80819056249993,1.9833,27.899999999999977
16.299999999999955,2,27.899999999999977
4.275688843364378,2.0167,22.30000000000001
4.967627419753114,2.0333,22.30000000000001
5.761536312500084,2.05,22.30000000000001
6.643686123456803,2.0667,22.30000000000001
7.60089747299395,2.0833,22.30000000000001
2.1794590000000085,2.1,11.5
1.109462638117236,2.1167,11.5
0.0006427654320191323,2.1333,11.5
1.1360213125001337,2.15,11.5
2.290100308641854,2.1667,11.5
13.34828504552462,2.1833,5.300000000000011
12.188464000000124,2.2,5.300000000000011
