Imbalance continuous;Imbalance discrete;timestep_fractional;;;;;;;;;;;
3.58;20.1;0;;21.017392;32.2;;;;Column1;Discrete;Continuous;Column2;Column3
9.443474437;9.1;1.55;;13.544416;17.7;;;;;;;;
9.789325815;9.1;1.5667;;13.46182595;17.7;;;;;;;;
10.13930122;9.1;1.5833;;13.421152;17.7;;;;;;;;
1.306464;2.7;1.6;;13.380637;17.6;;;;;;;;
0.947830192;2.7;1.6167;;13.34828505;17.6;;;;;;;;
0.584653444;2.7;1.6333;;13.337837;17.6;;;;;;;;
0.216785563;2.7;1.65;;13.31537563;17.6;;;;;;;;
0.155925926;2.7;1.6667;;13.29946663;17.6;;;;;;;;
1.166362229;4.4;1.6833;;13.29723937;17.5;;;;;;;;
0.783489;4.4;1.7;;13.29;17.5;;;;;;;;
0.395289081;4.4;1.7167;;13.23573302;17.5;;;;;;;;
0.001592889;4.4;1.7333;;13.21630656;17.5;;;;;;;;
0.397773438;4.4;1.75;;13.15233725;17.5;;;;;;;;
6.502988037;1.3;1.7667;;13.14675651;17.5;;;;;;;;
6.914233326;1.3;1.7833;;13.11779478;17.5;;;;;;;;
7.331696;1.3;1.8;;13.07683094;17.5;;;;;;;;
7.75556703;1.3;1.8167;;12.99246094;17.5;;;;;;;;
8.186041667;1.3;1.8333;;12.96544731;17.5;;;;;;;;
1.876680562;9.2;1.85;;12.950688;17.5;;;;;;;;
1.432395852;9.2;1.8667;;12.93798933;17.5;;;;;;;;
0.980896118;9.2;1.8833;;12.93359292;17.5;;;;;;;;
0.521969;9.2;1.9;;12.90996583;17.5;;;;;;;;
0.055397859;9.2;1.9167;;12.90454555;17.5;;;;;;;;
18.28096178;27.9;1.9333;;12.877379;17.1;;;;;;;;
17.79843556;27.9;1.95;;12.87632812;17.1;;;;;;;;
17.30758974;27.9;1.9667;;12.85395243;17.1;;;;;;;;
16.80819056;27.9;1.9833;;12.84493669;17.1;;;;;;;;
16.3;27.9;2;;12.83757812;17.1;;;;;;;;
4.275688843;22.3;2.0167;;12.78339288;17.1;;;;;;;;
4.96762742;22.3;2.0333;;12.75839506;17.1;;;;;;;;
5.761536313;22.3;2.05;;12.72125638;17.1;;;;;;;;
6.643686123;22.3;2.0667;;12.70692515;17.1;;;;;;;;
